player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
56418,2017,Chiro Ntoko,Zaire,Belgium,30/01/1988,Defender,Right,190,135000,270000
327881,2017,Sven Van Der Maaten,Netherlands,Netherlands,02/10/1994,Goalkeeper,Right,183,,90000
474949,2017,Marouane Afaker,Netherlands,Netherlands,09/05/1999,Attack,Right,0,,90000
457947,2017,Joost Mangert,Netherlands,Netherlands,20/08/1999,Defender,Right,190,,
341432,2017,Lex Van Dijk,,Netherlands,30/05/1996,Defender,Right,0,,23000
229912,2017,Shane Oneill,Ireland,United States,02/09/1993,Defender,Right,188,450000,450000
215096,2017,Jordy De Wijs,Belgium,Netherlands,08/01/1995,Defender,Left,189,1080000,1800000
424143,2017,Tijs Te Duits,Netherlands,Netherlands,27/02/1999,Goalkeeper,,0,,
342684,2017,Jair Oosterlen,Netherlands,Netherlands,11/04/1997,Midfield,Both,180,,45000
292734,2017,George Dobson,England,England,15/11/1997,Midfield,Right,185,90000,90000
405969,2017,Mark Veenhoven,Netherlands,Netherlands,03/03/1998,Midfield,,183,,90000
334804,2017,Kenny Dougall,Australia,Australia,07/05/1993,Midfield,Right,182,450000,540000
130280,2017,Janne Saksela,Finland,Finland,14/03/1993,Defender,Right,185,180000,315000
422585,2017,Diederick Luydens,Netherlands,Aruba,18/02/1999,Defender,Right,0,,45000
416393,2017,Lorenzo Fonseca,Netherlands,Cape Verde,17/01/1998,Defender,Right,189,180000,180000
24498,2017,Michel Breuer,Netherlands,Netherlands,25/05/1980,Defender,Right,183,,1130000
335619,2017,Bryan Janssen,Netherlands,Netherlands,09/01/1995,Goalkeeper,Right,197,,180000
84913,2017,Leonard Nienhuis,Netherlands,Netherlands,16/03/1990,Goalkeeper,,184,,675000
195546,2017,Roy Kortsmit,Netherlands,Netherlands,26/08/1992,Goalkeeper,Right,190,203000,765000
236783,2017,Albert Rafetraniaina,Madagascar,Madagascar,09/09/1996,Midfield,Right,176,68000,900000
24105,2017,Simon Pouplin,France,France,28/05/1985,Goalkeeper,Left,187,,3830000
324800,2017,Alec Georgen,France,France,17/09/1998,Defender,Right,172,360000,360000
